Configuration,Router,currentTableSize_count,currentTableSize_total,currentTableSize_avg,helloMessagesSent_count,helloMessagesSent_total,helloMessagesSent_avg,routingTableUpdates_count,routingTableUpdates_total,routingTableUpdates_avg
EDVRPComparisonEDVRP,1,26,106.0,4.076923076923077,200,200.0,1.0,26,26.0,1.0
EDVRPComparisonEDVRP,2,28,118.0,4.214285714285714,200,600.0,3.0,28,28.0,1.0
EDVRPComparisonEDVRP,3,29,123.0,4.241379310344827,200,600.0,3.0,29,29.0,1.0
EDVRPComparisonEDVRP,4,25,100.0,4.0,200,200.0,1.0,25,25.0,1.0
EDVRPComparisonEDVRP,5,30,129.0,4.3,200,400.0,2.0,30,30.0,1.0
EDVRPComparisonEDVRP,6,29,122.0,4.206896551724138,200,400.0,2.0,29,29.0,1.0
EDVRPComparisonEDVRP,unknown,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPStress,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPStress,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPStress,3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPStress,4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPStress,5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPStress,6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPStress,unknown,443,3792.0,8.559819413092551,30000,68000.0,2.2666666666666666,443,443.0,1.0
EDVRPDebug,1,5,20.0,4.0,10,10.0,1.0,5,5.0,1.0
EDVRPDebug,2,5,20.0,4.0,10,30.0,3.0,5,5.0,1.0
EDVRPDebug,3,6,26.0,4.333333333333333,10,30.0,3.0,6,6.0,1.0
EDVRPDebug,4,5,20.0,4.0,10,10.0,1.0,5,5.0,1.0
EDVRPDebug,5,7,32.0,4.571428571428571,10,20.0,2.0,7,7.0,1.0
EDVRPDebug,6,6,26.0,4.333333333333333,10,20.0,2.0,6,6.0,1.0
EDVRPDebug,unknown,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPBasic,1,21,86.0,4.095238095238095,160,160.0,1.0,21,21.0,1.0
EDVRPBasic,2,23,98.0,4.260869565217392,160,480.0,3.0,23,23.0,1.0
EDVRPBasic,3,23,98.0,4.260869565217392,160,480.0,3.0,23,23.0,1.0
EDVRPBasic,4,20,80.0,4.0,160,160.0,1.0,20,20.0,1.0
EDVRPBasic,5,24,104.0,4.333333333333333,160,320.0,2.0,24,24.0,1.0
EDVRPBasic,6,24,102.0,4.25,160,320.0,2.0,24,24.0,1.0
EDVRPBasic,unknown,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPScalability,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPScalability,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPScalability,3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPScalability,4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPScalability,5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPScalability,6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPScalability,unknown,1599,14966.0,9.359599749843651,17535,39412.0,2.2476190476190476,1599,1599.0,1.0
EDVRPComparison,1,20,80.0,4.0,80,80.0,1.0,20,20.0,1.0
EDVRPComparison,2,20,80.0,4.0,80,240.0,3.0,20,20.0,1.0
EDVRPComparison,3,20,80.0,4.0,80,240.0,3.0,20,20.0,1.0
EDVRPComparison,4,20,80.0,4.0,80,80.0,1.0,20,20.0,1.0
EDVRPComparison,5,20,80.0,4.0,80,160.0,2.0,20,20.0,1.0
EDVRPComparison,6,20,80.0,4.0,80,160.0,2.0,20,20.0,1.0
EDVRPComparison,unknown,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPLinkFailure,1,15,60.0,4.0,450,450.0,1.0,15,15.0,1.0
EDVRPLinkFailure,2,17,72.0,4.235294117647059,450,1350.0,3.0,17,17.0,1.0
EDVRPLinkFailure,3,17,71.0,4.176470588235294,450,1350.0,3.0,17,17.0,1.0
EDVRPLinkFailure,4,15,60.0,4.0,450,450.0,1.0,15,15.0,1.0
EDVRPLinkFailure,5,18,77.0,4.277777777777778,450,900.0,2.0,18,18.0,1.0
EDVRPLinkFailure,6,16,65.0,4.0625,450,900.0,2.0,16,16.0,1.0
EDVRPLinkFailure,unknown,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
EDVRPMetrics,1,203,828.0,4.078817733990148,1950,1950.0,1.0,203,203.0,1.0
EDVRPMetrics,2,217,912.0,4.202764976958525,1950,5850.0,3.0,217,217.0,1.0
EDVRPMetrics,3,227,964.0,4.246696035242291,1950,5850.0,3.0,227,227.0,1.0
EDVRPMetrics,4,195,780.0,4.0,1950,1950.0,1.0,195,195.0,1.0
EDVRPMetrics,5,235,1012.0,4.306382978723405,1950,3900.0,2.0,235,235.0,1.0
EDVRPMetrics,6,225,945.0,4.2,1950,3900.0,2.0,225,225.0,1.0
EDVRPMetrics,unknown,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
